Customer ID,Name,Contact,Email,Defaulted Amount,Default Count,Default Rate (%),CIBIL Score,Priority Score,Risk Segment,Recommend Action
1047,Raghav Dubey,918494902096,raghav.dubey194@yahoo.com,15.07 L,3,100.00%,486,27.57,Critical,Escalate to Recovery Agency + Legal
4620,Pushti Doctor,918092197558,pushti.doctor209@outlook.com,10.28 L,3,100.00%,637,22.03,High,Aggressive Collections Calls + Payment Plan
4724,Ishani Joshi,917231771111,ishani.joshi420@outlook.com,9.68 L,3,100.00%,583,21.43,High,Aggressive Collections Calls + Payment Plan
2935,Mohammed Mammen,918820058128,mohammed.mammen602@outlook.com,11.40 L,2,100.00%,557,20.65,High,Aggressive Collections Calls + Payment Plan
3102,Balveer Swamy,918071485656,balveer.swamy341@gmail.com,11.06 L,2,100.00%,560,20.31,High,Aggressive Collections Calls + Payment Plan
2463,Hamsini Wadhwa,917596992261,hamsini.wadhwa608@outlook.com,9.93 L,2,100.00%,541,19.93,High,Aggressive Collections Calls + Payment Plan
4347,Max Pillay,919575772783,max.pillay122@hotmail.com,11.70 L,2,100.00%,730,19.70,High,Aggressive Collections Calls + Payment Plan
1666,Saumya Sarraf,918731863798,saumya.sarraf606@yahoo.com,11.51 L,2,100.00%,711,19.51,High,Aggressive Collections Calls + Payment Plan
1128,Ronith Anne,918875996993,ronith.anne920@outlook.com,10.18 L,2,100.00%,582,19.43,High,Aggressive Collections Calls + Payment Plan
960,Faqid Doshi,919099636955,faqid.doshi222@gmail.com,9.40 L,2,100.00%,534,19.40,High,Aggressive Collections Calls + Payment Plan
992,Jeet Randhawa,919140933057,jeet.randhawa655@yahoo.com,9.85 L,2,100.00%,580,19.10,High,Aggressive Collections Calls + Payment Plan
2998,Peter Sarma,919799532101,peter.sarma835@hotmail.com,10.37 L,2,100.00%,669,18.87,High,Aggressive Collections Calls + Payment Plan
3030,Yashvi Kuruvilla,919798989829,yashvi.kuruvilla313@outlook.com,10.07 L,2,100.00%,714,18.07,High,Aggressive Collections Calls + Payment Plan
4431,Amol Nayak,917476703358,amol.nayak830@yahoo.com,8.74 L,2,100.00%,630,17.99,Medium,Standard Collections Calls
3298,Yashasvi Sundaram,917611212814,yashasvi.sundaram746@outlook.com,12.97 L,2,66.67%,598,17.90,Medium,Standard Collections Calls
3728,Jai Tailor,917563087040,jai.tailor912@gmail.com,12.91 L,2,66.67%,582,17.86,Medium,Standard Collections Calls
3821,Dakshesh Purohit,919054366215,dakshesh.purohit663@hotmail.com,13.63 L,2,66.67%,685,17.59,Medium,Standard Collections Calls
3041,Bishakha Tella,919976412724,bishakha.tella605@hotmail.com,8.13 L,2,100.00%,627,17.38,Medium,Standard Collections Calls
2587,Yagnesh Luthra,917691857946,yagnesh.luthra998@yahoo.com,7.88 L,2,100.00%,644,17.13,Medium,Standard Collections Calls
29,Ganga Kala,917123786248,ganga.kala668@hotmail.com,7.68 L,2,100.00%,605,16.93,Medium,Standard Collections Calls
1257,Andrew Kari,919641782888,andrew.kari315@yahoo.com,8.05 L,2,100.00%,662,16.55,Medium,Standard Collections Calls
3761,Pratyush Thakkar,919231949080,pratyush.thakkar69@gmail.com,9.55 L,1,100.00%,586,16.30,Medium,Standard Collections Calls
4255,Tanvi Subramanian,917220026678,tanvi.subramanian36@gmail.com,7.75 L,2,100.00%,669,16.25,Medium,Standard Collections Calls
332,Sai Rama,918263202829,sai.rama186@hotmail.com,10.46 L,2,66.67%,573,16.22,Medium,Standard Collections Calls
1988,Kala Mishra,918574904534,kala.mishra62@hotmail.com,6.00 L,2,100.00%,520,16.00,Medium,Standard Collections Calls
1087,Oni Lala,917096754383,oni.lala982@hotmail.com,5.92 L,2,100.00%,535,15.92,Medium,Standard Collections Calls
3975,Tanay Kuruvilla,919468238324,tanay.kuruvilla629@outlook.com,9.10 L,2,66.67%,571,15.32,Medium,Standard Collections Calls
4465,Abhimanyu Chana,917867335888,abhimanyu.chana498@yahoo.com,7.87 L,2,66.67%,547,15.25,Medium,Standard Collections Calls
2745,Kabir Bobal,919867438597,kabir.bobal386@hotmail.com,8.31 L,1,100.00%,597,15.06,Medium,Standard Collections Calls
2469,Chanchal Chauhan,918755753476,chanchal.chauhan857@hotmail.com,8.08 L,1,100.00%,620,14.83,Medium,Standard Collections Calls
872,Madhav Padmanabhan,918898468176,madhav.padmanabhan407@yahoo.com,5.56 L,2,100.00%,641,14.81,Medium,Standard Collections Calls
4154,Rachit Pingle,919695878341,rachit.pingle933@gmail.com,9.28 L,1,100.00%,716,14.78,Medium,Standard Collections Calls
678,Zaitra Shanker,917722764628,zaitra.shanker372@outlook.com,8.00 L,1,100.00%,643,14.75,Medium,Standard Collections Calls
780,Liam Kari,917791584189,liam.kari793@hotmail.com,6.98 L,2,66.67%,545,14.65,Medium,Standard Collections Calls
2616,Shivani Palan,918029757849,shivani.palan369@outlook.com,7.80 L,1,100.00%,645,14.55,Medium,Standard Collections Calls
3295,Pooja Sethi,917608489884,pooja.sethi486@gmail.com,5.30 L,2,100.00%,577,14.55,Medium,Standard Collections Calls
2258,Yashasvi Bhattacharyya,918066145979,yashasvi.bhattacharyya281@yahoo.com,8.49 L,1,100.00%,659,14.49,Medium,Standard Collections Calls
3198,Fiyaz Talwar,918012469827,fiyaz.talwar121@hotmail.com,5.12 L,2,100.00%,591,14.37,Medium,Standard Collections Calls
1852,Henry Patel,917922107899,henry.patel183@outlook.com,8.81 L,1,100.00%,724,14.31,Medium,Standard Collections Calls
3283,Tripti Khatri,917332209853,tripti.khatri977@gmail.com,8.76 L,1,100.00%,749,14.26,Medium,Standard Collections Calls
1989,Lekha Nayar,919943008304,lekha.nayar697@yahoo.com,8.24 L,1,100.00%,677,14.24,Medium,Standard Collections Calls
2226,Radhika Nanda,919262552782,radhika.nanda999@outlook.com,5.73 L,2,100.00%,650,14.23,Medium,Standard Collections Calls
2322,Nirja Morar,918372683897,nirja.morar863@outlook.com,5.68 L,2,100.00%,672,14.18,Medium,Standard Collections Calls
713,Amara Sawhney,917222500976,amara.sawhney106@hotmail.com,9.91 L,2,66.67%,772,14.11,Medium,Standard Collections Calls
800,Aachal Basu,917272829087,aachal.basu464@gmail.com,7.22 L,1,100.00%,608,13.97,Medium,Standard Collections Calls
4211,Kiaan Bal,919450532335,kiaan.bal985@gmail.com,6.88 L,1,100.00%,624,13.63,Medium,Standard Collections Calls
4268,Triveni Palan,917930602975,triveni.palan612@outlook.com,6.87 L,1,100.00%,646,13.62,Medium,Standard Collections Calls
2181,Michael Agate,919702282415,michael.agate852@yahoo.com,7.60 L,1,100.00%,654,13.60,Medium,Standard Collections Calls
2682,Bhavika Manne,918395474330,bhavika.manne778@yahoo.com,8.34 L,1,100.00%,768,13.34,Medium,Standard Collections Calls
